# 照合除外リスト(2026-08-12: 1〜32番を消化。残りは動画確認待ち)
# 初期DB化時点で保留にした過去動画(店名不明・チェーン店舗不明など)。
# 店名が判明してspots.jsonに登録したらこのファイルから削除する。
# 形式: 動画ID|タイトル(コメント)

# --- YouTube ---
2wXjdqn8IFE|【宅配ラーメン】なんつっ亭って何？！神奈川の名店らしい、福岡人が食べてみた#ラーメン #宅配 #豚骨ラーメン  ← 対象外(ユーザー確認済み)
_toA4WI1yZY|【福岡グルメ】おひとり様でも大歓迎な天神(赤坂)の角ダイニングバーに潜入！#ダイニングバー #天神 #グルメ #ディナー
JJuROCN7f0E|【福岡グルメ】元一風堂店員が行く、ライバル店の一蘭の新作！和風豚骨だと！？#福岡 #豚骨ラーメン #観光 #旅行 #博多 #ラーメン #shorts #グルメ
HTCxN9dj6Ps|【カルディ】元一風堂店員、全然関係ないけどカルディ商品を正直に食べてみる#カルディ #shorts #海外 #お菓子 #料理 #簡単レシピ #プリン #チャーシュー #スイーツ #おつまみ  ← 対象外(ユーザー確認済み)
pnqcPNkJtC0|【福岡】東区和白にあるインドカレー屋さん！内装と外装ビルのギャップありすぎやろ！#福岡 #福岡市東区 #カレー #インドカレー #居酒屋
BJT5TrrWzhE|【福岡ラーメンランキング】ラーメンWalkerでランクインされてる豚骨ラーメンを食べてみた！3選！#福岡 #ふくちゃんラーメン #一双 #キリン #ランキング #ラーメン#shorts  ← 対象外(ユーザー確認済み)
ndJTSJiyBBo|【福岡お土産】福岡を代表する銘菓、3選ご紹介！ #福岡 #お土産 #旅行 #shorts
NaI5J9ZNojk|【佐賀旅行】武雄温泉と呼子のイカを食す！和食処へ#佐賀 #呼子 #居酒屋 #刺身 #shorts #温泉
fPFQYgBl1Aw|【長崎グルメ】佐世保にあるバーガーは必須！#佐世保 #長崎 #旅行 #ハンバーガー #shorts
BWh1McSNW_0|【福岡】ラーメン界のファミレス、育児中でも行きやすいお店 #福岡 #ラーメン #子供
RBqNmNWp2uo|【福岡うどん】ラーメンだけじゃない！うどんも美味しいとよ！ #福岡 #子供 #うどん #shorts
dr-Aojnmguk|【福岡グルメ】中洲にある餃子屋さんのラーメンがまじうまい！#餃子 #ラーメン #福岡 #博多 #shorts
# --- TikTok ---
7666631553090391304|【福岡ラーメン】7月に食べたラーメンTOP5！今月一番うまかった一杯はこれ！ #福岡 #ラーメン #豚骨ラーメン #グルメ #ランキング
7662881459471928583|【宅配ラーメン】なんつっ亭って何？！神奈川の名店らしい、福岡人が食べてみた#ラーメン #宅配 #豚骨ラーメン  ← 対象外(ユーザー確認済み)
7462493449133067527|【福岡】天神駅から徒歩1分！天麩羅をメインとするさくっと立ち飲み屋さん#立ち飲み #天ぷら #天神グルメ #福岡
7457308436137528583|【福岡グルメ】おひとり様でも大歓迎な天神(赤坂)の角ダイニングバーに潜入！#ダイニングバー #天神 #グルメ #ディナー
7452317552031714568|【福岡グルメ】中洲で行列のできる人気3大ラーメン！豚骨×家系ラーメン#博多グルメ #ラーメン #福岡 #中洲
7446538731172957448|【福岡グルメ】深夜までやってる中洲のラーメン3選！その一つの豚骨ラーメン屋に行ってきたよ #ラーメン #博多グルメ #中洲 #豚骨ラーメン...
7438745134662946055|【福岡グルメ】ラーメンランキング"金賞" まさかの○○ラーメン！#ラーメン #福岡 #博多グルメ #ファミリー #ランキング
7432081854288760082|【福岡】元ラーメン屋店員がいく、〆のラーメン最高！あれ？そういえばなんでラーメン食べてるんだろ？#ラーメン #豚骨ラーメン #天神 #福岡
7429476406347779335|うまかっちゃんと辛ラーメンを合わせると。。？からかろうもん？#ラーメン #インスタントラーメン #料理 #レシピ
7428358129039019272|【福岡グルメ】てんこねメンバー、もつ鍋人気店の〆で明太子入れたら。。？〆はちゃんぽん派？雑炊派？ #カルボナーラ #もつ鍋 #福岡 #博多グルメ
7426496780105256199|ケンタッキーのついでに手軽な自家製ラーメン！すっきり醤油味#飯テロ #ラーメン #ケンタッキー #レシピ #手作り
7426127482060934418|【福岡グルメ】天神で深夜まであいてる豚骨ラーメンのバリエーション豊かなお店#ラーメン #豚骨ラーメン #福岡 #深夜 #天神
7423902812163034375|意外な組み合わせで実験！？福岡と北海道を組み合わせた斬新なラーメン #ラーメン手作り #ラーメンレシピ #博多ラーメン #インスタントラーメン
7416478030966689031|【福岡グルメ】元一風堂店員が行く、明太子1本使った濃厚クリーミーな穴場なうどん屋さん！#福岡 #うどん #明太子 #福岡グルメ #グルメ ...
7411290793224326408|【福岡ラーメン】元一風堂店員が行く、博多駅のラーメン街道には名店だらけ！話題を集めた豚骨ラーメン達#博多 #福岡 #旅行 #ラーメン #s...
7406099569018195218|【福岡グルメ】元一風堂店員が行く！豚骨ラーメンの聖地、久留米ラーメンといえば！#福岡 #ラーメン #グルメ #久留米 #豚骨ラーメン #s...
7398298164584795400|【福岡】スイーツが24時間選び放題！あのバズったやつ！#福岡 #スイーツ #お菓子 #24h #shorts #無人販売所
7388655576445684999|【福岡グルメ】火傷注意！思ってる3倍は肉汁が飛び出す食べ歩きグルメ！#小籠包 #天神 #福岡 #九州 #グルメ
7382764393446051090|【福岡グルメ】元一風堂店員、九州ラーメン総選挙1位を食べてみた、そしたら。。#福岡 #九州#ランキング #ラーメン #豚骨ラーメン #グル...
7380112077320375560|【カルディ】元一風堂店員、全然関係ないけどカルディ商品を正直に食べてみる#カルディ #shorts #海外 #お菓子 #料理 #簡単レシピ...  ← 対象外(ユーザー確認済み)
7372305651944393992|【福岡グルメ】元一風堂店員、久留米で絶品ラーメンを食べる！#久留米 #ラーメン #豚骨ラーメン #福岡 #shorts
7369528568029662472|【福岡グルメ】元マジシャンが久留米に行って豚骨ラーメンじゃなくてうどんを食べに行きました。#久留米 #うどん #福岡 #shorts #旅...
7366111055291878674|【福岡】雨の日に行ける！子供と遊べる室内パークをご紹介！5選！まだまだいっぱいあるよ！#子供のいる暮らし #遊び場 #福岡 #雨の日
7364537488364391688|【福岡グルメ】豚骨なのにイタリアン？！いよいよ天神に、深夜まであいてるラーメン店！#豚骨ラーメン #ラーメン #旅行 #観光 #福岡 #s...
7359341997531892999|【福岡グルメ】元一風堂店員が行く、深夜に行列！老舗の豚骨ラーメン屋さん！#豚骨ラーメン #ラーメン #観光 #旅行 #福岡 #九州 #グルメ
7330414289943088386|【福岡グルメ】一蘭、我ガ、鳳凛の間柄、味が似ている正体とは　#博多ラーメン #福岡 #豚骨ラーメン #一蘭 #short
7303452555634429185|【クリスマス】福岡の街全体がクリスマスイルミネーションに！メリークリスマス#博多駅 #福岡 #クリスマス #メリークリスマス #クリスマス...
7299738598008540417|【福岡】東区和白にあるインドカレー屋さん！内装と外装ビルのギャップありすぎやろ！#福岡 #福岡市東区 #カレー #インドカレー #居酒屋
7293801621660650754|【福岡グルメ】昔なつかしソウルフード、むつごろう万十！やはり定番の味はハムエッグよねー！#ムツゴロウ #むつごろう万十 #ソウルフード #...
7286737522682645762|【福岡土産】福岡名物のお土産用ラーメン、ぶっちゃけ美味しいの？検証してみよーう！#福岡 #豚骨ラーメン #ラーメン #観光 #お土産 #s...
7285629426681892098|【福岡ラーメンランキング】ラーメンWalkerでランクインされてる豚骨ラーメンを食べてみた！3選！#福岡 #豚骨ラーメン #ふくちゃんラー...  ← 対象外(ユーザー確認済み)
7275914679728311554|【福岡旅】スリランカカリーの美味しい店、現地シェフによるエスニック料理を楽しもう！#スリランカ #カリー #カレー #エスニック #福岡 ...
7273695488547867906|【九州グルメ】別府は冷麺も良いよ！さっぱりお昼ごはん#別府 #温泉 #冷麺 #ラーメン #旅行
7270351020557978881|【福岡ラーメン】夜限定！風味香る、豚骨エスプーマ #福岡 #豚骨ラーメン #ラーメン #グルメ #shorts
7265560589022317831|【福岡グルメ】ガツンと豚骨ラーメン！最強チャーシュー食べてみぃ！春日市と博多にあるよ！#福岡 #ラーメン #豚骨ラーメン #チャーシュー ...
7249988348100611329|【福岡土産】旅行で博多に来たらどんなお土産がある？通りもん以外を紹介！#お土産 #福岡 #博多 #お菓子 #銘菓 #shorts
7249216698522275074|【福岡ラーメン】我ガ！○蘭にソックリやんけ！いえ、違います。 #福岡 #ラーメン #子供 #旅行 #豚骨ラーメン #shorts
7247368033168100609|【福岡ラーメン】ラーメングランプリ2位、好き嫌い分かれる呼び戻す系の豚骨スープ #福岡 #ラーメン #旅行 #shorts #豚骨ラーメン
7242250689861176577|【福岡ラーメン】激安チェーン店、320円でこのクオリティ！しっかり美味しい #福岡 #ラーメン #お一人様 #子供 #博多
7241126403331165442|【福岡お土産】福岡を代表する銘菓、3選ご紹介！ #福岡 #お土産 #旅行
7232652199237537025|【佐賀旅行】武雄温泉と呼子イカを食す！和食処へ#呼子のイカ #佐賀 #和食 #居酒屋 #武雄
7231118035002739995|【長崎グルメ】佐世保に寄ったら必ず食べる！定番でしょ！#佐世保 #長崎 #九州 #ハンバーガー #旅行
7228009465495276802|【トンカツ】福岡の豚カツはこれ！色んな豚カツあるけども、入口はココ#とんかつ #福岡 #長崎グルメ #子供
7226896618753117442|【ラーメン】ファミレスのようなラーメン屋さん、子連れに優しいお店です#ラーメン #子供 #グルメ
7211138214529158401|【長崎旅行】九州の観光地は長崎がオススメ！レモンステーキ、トルコライス、ハウステンボス、佐世保バーガー！観光できるところたくさん！#長崎旅...
